Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Lebanon,2015,AUB,35.482131,33.903556,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.484831,33.905473,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Beirut,35.484831,33.905473,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Beirut,35.484831,33.905473,25,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Beirut,35.484831,33.905473,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,27,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,27,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,28,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,25,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,31,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,32,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,30,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,AUB wall,35.48484,33.904784,25,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Beirut,35.521232,33.913003,15,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Dbayeh,35.548957,33.965851,20,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Tabarja,35.604876,34.030281,0,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Tabarja,35.606942,34.024494,32,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Byblos,35.633841,34.117564,25,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Batroun,35.650418,34.244077,35,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Batroun,35.652312,34.251309,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2015,Palm island,35.763418,34.485139,12,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Syria,2015,Lattakia,35.858087,35.436476,50,sandy bottom,1,trawler,Dimitriadis et al. 2020
Pterois miles,Syria,2015,Jableh,35.890789,35.34325,50,sandy bottom,1,trawler,Dimitriadis et al. 2020
